StockCode,Description,ImagePath
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0005_e90bd1af.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0054_aug_522654cc.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0042_aug_49296692.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0100_aug_99ab39b2.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0019_91f8f39a.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0104_aug_393206c0.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0012_1cfa3324.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0028_aug_0a64a3f3.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0002_f468a574.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0139_aug_bb8e0ee9.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0089_aug_4ad8c4c4.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0091_aug_ef6cd294.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0035_aug_a3cc0cca.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0086_aug_86b016c9.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0027_aug_661d4ad3.jpg
22112,CHOCOLATE HOT WATER BOTTLE,../data/product_images/CHOCOLATE HOT WATER BOTTLE/0062_aug_ee7c8b4d.jpg
