StockCode,Description,ImagePath
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0054_aug_c84aae8b.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0018_9c72d33b.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0082_aug_bc50135c.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0132_aug_c5096c4c.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0062_aug_739d5f9e.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0051_aug_c1e55ba2.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0006_d60549ed.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0000_780e94fc.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0111_aug_f1de7fb1.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0020_aug_90056ff7.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0010_e90bd1af.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0126_aug_c5e966aa.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0125_aug_2563f425.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0083_aug_50de0f86.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0055_aug_6b274143.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0002_f468a574.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0031_aug_3ce778fd.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0113_aug_303f2edf.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0038_aug_5a4b223f.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0065_aug_0725e94e.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0063_aug_f3e4e133.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0112_aug_8f76ad0e.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0103_aug_a78f429a.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0045_aug_a348de61.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0108_aug_bb8e0ee9.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0060_aug_5706a42d.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0016_2fd74b0a.jpg
22112,CHOCOLATE HOT WATER BOTTLE,data/product_images/CHOCOLATE HOT WATER BOTTLE/0072_aug_09f159a1.jpg
