StockCode,Description,UnitPrice,Country
2,CARRIAGE,49.291666666666664,Eire
3,BOXED GLASS ASHTRAY,1.988,United Kingdom
4,HAYNES CAMPER SHOULDER BAG,16.63,United Kingdom
55,UNKNOWN,0.0,United Kingdom
57,UNKNOWN,0.0,United Kingdom
66,UNKNOWN,0.0,United Kingdom
67,ebay,0.0,United Kingdom
68,ebay,0.0,United Kingdom
69,OOH LA LA DOGS COLLAR,7.895,United Kingdom
70,CAMOUFLAGE DOG COLLAR,6.36,United Kingdom
71,UNKNOWN,0.0,United Kingdom
72,UNKNOWN,0.0,United Kingdom
73,ebay,0.0,United Kingdom
74,UNKNOWN,0.0,United Kingdom
76,SUNJAR LED NIGHT NIGHT LIGHT,16.13,United Kingdom
110,Dotcomgiftshop Gift Voucher £10.00,7.404444444444445,United Kingdom
120,Dotcomgiftshop Gift Voucher £20.00,15.038000000000002,United Kingdom
130,Dotcomgiftshop Gift Voucher £30.00,21.94125,United Kingdom
140,Dotcomgiftshop Gift Voucher £40.00,33.56666666666666,United Kingdom
150,Dotcomgiftshop Gift Voucher £50.00,41.89,United Kingdom
10002,INFLATABLE POLITICAL GLOBE,1.056849315068493,United Kingdom
10080,GROOVY CACTUS INFLATABLE,0.3766666666666667,United Kingdom
10120,DOGGY RUBBER,0.21,United Kingdom
10123,HEARTS WRAPPING TAPE,0.39,United Kingdom
10124,ARMY CAMO BOOKCOVER TAPE,0.42,United Kingdom
10125,MINI FUNKY DESIGN TAPES,0.8597849462365591,United Kingdom
10133,COLOURING PENCILS BROWN TUBE,0.648080808080808,United Kingdom
10134,UNKNOWN,0.0,United Kingdom
10135,COLOURING PENCILS BROWN TUBE,1.4119662921348313,United Kingdom
11001,ASSTD DESIGN RACING CAR PEN,1.8781666666666665,United Kingdom
15030,FAN BLACK FRAME,0.26928571428571424,United Kingdom
15034,PAPER POCKET TRAVELING FAN,0.36640845070422534,United Kingdom
15036,ASSORTED COLOURS SILK FAN,1.0634160305343512,United Kingdom
15039,SANDALWOOD FAN,1.2343243243243243,United Kingdom
15044,BLUE PAPER PARASOL,3.579472140762464,United Kingdom
15056,EDWARDIAN PARASOL BLACK,7.560477047704771,United Kingdom
15058,BLUE POLKADOT GARDEN PARASOL,9.310223880597015,United Kingdom
15060,FAIRY CAKE DESIGN UMBRELLA,4.983284671532847,United Kingdom
16008,SMALL FOLDING SCISSOR(POINTED EDGE),0.13422535211267606,United Kingdom
16010,FOLDING CAMPING SCISSOR W/KNIF & S,0.09,United Kingdom
16011,ANIMAL STICKERS,0.21,United Kingdom
16012,FOOD/DRINK SPONGE STICKERS,0.21,United Kingdom
16014,SMALL CHINESE STYLE SCISSOR,0.4014814814814815,United Kingdom
16015,MEDIUM CHINESE STYLE SCISSOR,0.4340740740740741,United Kingdom
16016,LARGE CHINESE STYLE SCISSOR,0.8460000000000001,United Kingdom
16020,CLEAR STATIONERY BOX SET,0.7457894736842106,United Kingdom
16033,MINI HIGHLIGHTER PENS,0.096,United Kingdom
16043,POP ART PUSH DOWN RUBBER,0.08,United Kingdom
16045,POPART WOODEN PENCILS ASST,0.04225352112676056,United Kingdom
16046,TEATIME PEN CASE & PENS,0.796875,United Kingdom
16048,TEATIME ROUND PENCIL SHARPENER,0.3280882352941176,United Kingdom
16049,TEATIME GEL PENS ASST,0.17142857142857143,United Kingdom
16052,TEATIME PUSH DOWN RUBBER,0.5471428571428572,United Kingdom
16053,UNKNOWN,0.0,United Kingdom
16054,POPART RECT PENCIL SHARPENER ASST,0.1288235294117647,United Kingdom
16151,FLOWERS HANDBAG blue and orange,0.9375,United Kingdom
16156,WRAP PINK FAIRY CAKES,0.41494623655913976,United Kingdom
16161,WRAP ENGLISH ROSE,0.4022113022113022,United Kingdom
16162,THE KING GIFT BAG,0.42800000000000005,United Kingdom
16168,FUNKY MONKEY GIFT BAG MEDIUM,0.6164285714285714,United Kingdom
16169,WRAP BLUE RUSSIAN FOLKART,0.41281249999999997,United Kingdom
